City_clean,ev_count,station_count,evs_per_station
TOUTLE,7,0,
TROUT LAKE,40,0,
TUKWILA,3365,26,129.42307692307693
TULALIP,4,6,0.6666666666666666
TULALIP BAY,0,5,0.0
TUMTUM,1,0,
TUMWATER,892,7,127.42857142857143
TWISP,59,2,29.5
UNDERWOOD,41,0,
UNION,67,1,67.0
UNION GAP,17,0,
UNIONTOWN,6,0,
UNIVERSITY PLACE,946,0,
USK,1,0,
VADER,10,0,
VALLEY,10,0,
VALLEYFORD,29,0,
VANCOUVER,8740,75,116.53333333333333
VANTAGE,2,0,
VASHON,777,3,259.0
VAUGHN,31,0,
VERADALE,81,0,
WAHKIACUS,2,0,
WAITSBURG,12,1,12.0
WALDRON,4,0,
WALLA WALLA,498,26,19.153846153846153
WALLA WALLA CO,3,0,
WAPATO,28,3,9.333333333333334
WARDEN,17,0,
WASHOUGAL,781,14,55.785714285714285
WASHTUCNA,2,1,2.0
WATERVILLE,7,0,
WELLPINIT,2,0,
WENATCHEE,608,29,20.96551724137931
WEST RICHLAND,334,0,
WEST SEATTLE,0,1,0.0
WESTPORT,36,3,12.0
WHITE SALMON,216,2,108.0
WHITE SWAN,1,1,1.0
WILBUR,6,0,
WILKESON,6,0,
WILLAPA,3,0,
WINLOCK,98,0,
WINTHROP,130,5,26.0
WISHRAM,1,0,
WOODINVILLE,2996,14,214.0
WOODLAND,255,0,
WOODWAY,120,0,
WRCH,3,0,
YACOLT,78,0,
YAKIMA,1023,21,48.714285714285715
YARROW POINT,157,0,
YELM,417,1,417.0
ZILLAH,41,2,20.5
